SafetyMargin,Eta,Tau,NumberOfCollisions
0.07151893526315689,0.54881352186203,0.5928446054458618,0
0.07203245162963867,0.4170219898223877,0.9971848130226135,6
0.0025926230009645224,0.4359948933124542,0.1850820779800415,70
0.07081478089094162,0.5507978796958923,0.07072488218545914,0
0.05472322925925255,0.9670298099517822,0.9006214737892151,8
0.08707322925329208,0.22199317812919617,0.05518012121319771,0
0.033197980374097824,0.8928601741790771,0.9474760890007019,15
0.07799188047647476,0.07630828768014908,0.22733907401561737,0
0.096854068338871,0.8734294176101685,0.011114438064396381,0
0.05018745735287666,0.01037415862083435,0.3644610345363617,1
0.002075194614008069,0.771320641040802,0.29876115918159485,80
0.0019475240260362625,0.18026968836784363,0.06830684840679169,95
0.07400497049093246,0.15416283905506134,0.4462217390537262,8
0.023754121735692024,0.7777023911476135,0.6073413491249084,15
0.07731650769710541,0.5139433145523071,0.9218934178352356,0
0.017889592796564102,0.8488177061080933,0.8135804533958435,58
0.0523163340985775,0.2232910841703415,0.32665616273880005,7
0.0530586801469326,0.29466500878334045,0.18177777528762817,0
0.050545334815979004,0.6503742337226868,0.07601077109575272,0
0.07612497359514236,0.09753360599279404,0.43046823143959045,5
0.08977137506008148,0.5881307721138,0.8874117136001587,0
0.028910964727401733,0.04872487857937813,0.7992718815803528,86
0.04816810414195061,0.20846053957939148,0.7019630074501038,24
0.09469626098871231,0.5172978639602661,0.6690971255302429,0
0.06995120644569397,0.9600173234939575,0.2944338023662567,0
0.058227695524692535,0.8701241612434387,0.6960659623146057,0
0.05193914845585823,0.3079349398612976,0.7131112217903137,11
0.08145837485790253,0.4257214069366455,0.4808014929294586,0
0.05612396076321602,0.7290137410163879,0.1708230972290039,0
0.028490597382187843,0.8637599945068359,0.8005293011665344,24
0.03807484731078148,0.6441435217857361,0.9169780015945435,8
0.09581055492162704,0.2860538363456726,0.02899160049855709,0
0.03727111592888832,0.8588892817497253,0.05965651199221611,0
0.04499754309654236,0.24851012229919434,0.6896826028823853,1
0.07801004499197006,0.03856167942285538,0.19576385617256165,0
0.03083496168255806,0.45805495977401733,0.44979506731033325,1
0.060161422938108444,0.7285072207450867,0.08763899654150009,0
0.04640981927514076,0.9444966316223145,0.1392260491847992,0
0.08597078174352646,0.3847731053829193,0.8970097899436951,21
