SafetyMargin,Eta,Tau,output
0.0083136120811104,0.1124459654092788,0.0195370092988014,32
0.0305972676724195,0.5097077488899231,0.538981556892395,20
0.0354343019425869,0.5361230969429016,0.6223887205123901,9
0.0853195786476135,0.5195218920707703,0.7705600261688232,0
0.0933124348521232,0.1218610182404518,0.8609657883644104,0
0.0229549314826726,0.5053468942642212,0.569782555103302,29
0.0572234652936458,0.4500724971294403,0.472481220960617,0
0.0882878378033638,0.3163231611251831,0.2607090175151825,0
0.0767619013786315,0.7450675964355469,0.0848079547286033,0
0.0645524486899375,0.9538107514381408,0.3922956585884094,0
0.042718730866909,0.574118971824646,0.3795000910758972,0
0.0640153363347053,0.2498182654380798,0.0554964877665042,0
0.0635006055235862,0.7556036114692688,0.8361519575119019,0
0.0241359435021877,0.2209223806858062,0.4318530559539795,50
0.0211936943233013,0.1072958558797836,0.4208366572856903,73
0.0228436477482318,0.4892468154430389,0.5376778841018677,25
0.0572695694863796,0.670757532119751,0.1812685877084732,0
0.0224996246397495,0.4784434735774994,0.5620848536491394,12
0.00449621072039,0.8209996819496155,0.0641761049628257,9
0.0264883637428283,0.0181537177413702,0.4345027506351471,24
0.0585251227021217,0.1543265432119369,0.485540896654129,4
0.0546342507004737,0.2292317748069763,0.3186598718166351,0
0.0234833378344774,0.5544301867485046,0.9235064387321472,57
0.0611888282001018,0.8744688630104065,0.8685775399208069,0
0.0165592785924673,0.0198199339210987,0.4691782593727112,124
0.0694154873490333,0.1101989150047302,0.3054730296134949,0
0.0421241521835327,0.2225320190191269,0.262494832277298,0
0.0993546247482299,0.8229889273643494,0.4079144895076751,0
0.0857422351837158,0.2523453533649444,0.6577156782150269,12
0.0429836176335811,0.750413715839386,0.6078534126281738,8
0.0451205931603908,0.3651055693626404,0.8334213495254517,31
0.0690159574151039,0.901235580444336,0.9630782604217528,5
0.0728562176227569,0.5493460297584534,0.0583574399352073,0
0.045538242906332,0.9987590312957764,0.6126202940940857,0
0.0963734835386276,0.511845052242279,0.8715868592262268,0
0.0980702266097068,0.1368034780025482,0.8175216913223267,0
0.0307970531284809,0.8110691905021667,0.9885430932044984,32
0.0092293294146656,0.781080961227417,0.3607480823993683,24
0.0563023164868354,0.7081955671310425,0.0137753095477819,0
0.0710111707448959,0.1054074540734291,0.4574585855007171,0
0.0873676165938377,0.2254798114299774,0.9939616918563844,3
0.0115006938576698,0.6535896062850952,0.2055217176675796,9
0.0130242509767413,0.4285826981067657,0.9634037017822266,325
0.0301406737416982,0.9917707443237304,0.1123643070459365,0
0.0535559728741645,0.2767654657363891,0.6042803525924683,33
0.0576442964375019,0.2629716694355011,0.2447606921195984,0
0.0691038519144058,0.8580893874168396,0.9311285018920898,4
0.0196299832314252,0.6324676871299744,0.1712401062250137,3
0.0733873173594474,0.3096689581871032,0.7407147288322449,4
0.0442081913352012,0.1896906197071075,0.1426402628421783,0
0.0554996840655803,0.4348228275775909,0.7797528505325317,17
0.0389132238924503,0.302933782339096,0.0691061466932296,0
0.0329884067177772,0.4119027853012085,0.9735109210014344,53
0.0507597289979457,0.4704324007034302,0.6424053311347961,0
0.0158146116882562,0.8000077605247498,0.9778296947479248,104
0.0222558882087469,0.9294235706329346,0.2211871147155761,0
0.0252829138189554,0.3982919454574585,0.863069474697113,97
0.0317250452935695,0.0855361074209213,0.2395155280828476,8
0.0238413773477077,0.1042605713009834,0.1013428717851638,21
0.0881576016545295,0.9903432726860046,0.0460273995995521,0
0.054579209536314,0.5652782320976257,0.6874231696128845,0
0.0097656166180968,0.8437225222587585,0.9678217768669128,166
0.0946512892842292,0.3132229447364807,0.7496591210365295,4
0.0093744536861777,0.8868088722229004,0.8653392791748047,206
0.066971518099308,0.3075250089168548,0.122498907148838,0
0.0284956432878971,0.9718461036682128,0.5290220975875854,0
0.017771428450942,0.4885739386081695,0.1245149075984954,1
0.0585869811475276,0.7502408027648926,0.6580825448036194,0
0.073308452963829,0.4476276934146881,0.8105568885803223,15
0.0405004024505615,0.8191410303115845,0.0349976643919944,0
0.0313479155302047,0.4575952589511871,0.8622925877571106,49
0.0378458872437477,0.8331792950630188,0.1836889684200287,0
0.0523019917309284,0.5762305855751038,0.0131760705262422,0
