SafetyMargin,Eta,Tau,NumberOfCollisions
0.07151894271373749,0.54881352186203,0.5928446054458618,0
0.07203245162963867,0.4170219898223877,0.9971848130226135,0
0.0020751950796693563,0.7713205814361572,0.29876118898391724,70
0.027836939319968224,0.5434048771858215,0.671155571937561,11
0.011500690132379532,0.6535896062850952,0.20552170276641846,15
0.02650636062026024,0.306232213973999,0.3795287013053894,9
0.04611561819911003,0.12898829579353333,0.04280434921383858,0
0.043593380600214005,0.5978057980537415,0.004862627945840359,4
0.08564958721399307,0.03895163908600807,0.4194895029067993,0
0.007080133073031902,0.6592143774032593,0.18123659491539001,18
0.022642429918050766,0.7431272864341736,0.16883540153503418,0
0.07972212880849838,0.5482499003410339,0.9883989095687866,3
0.09297394752502441,0.614002525806427,0.9105613231658936,0
0.016457460820674896,0.6148803234100342,0.11513660103082657,2
0.05706676095724106,0.5163986086845398,0.5525401830673218,0
0.017559250816702843,0.39425650238990784,0.8159145712852478,127
0.038574058562517166,0.6556808948516846,0.17196479439735413,0
0.07927963137626648,0.026729360222816467,0.06026456132531166,0
0.005517086014151573,0.5570386052131653,0.261030912399292,55
0.07022123038768768,0.2317993938922882,0.15891289710998535,0
0.013937650248408318,0.6275113821029663,0.5652582049369812,33
0.07071896642446518,0.8386359810829163,0.622546911239624,0
0.09204549342393875,0.1125354990363121,0.5574856996536255,0
0.09449026733636856,0.0809675008058548,0.05663152039051056,0
0.011767249554395676,0.32391929626464844,0.21775400638580322,55
0.06759869307279587,0.5976815819740295,0.39755740761756897,0
0.0166731309145689,0.7589529752731323,0.5728467106819153,16
0.087193563580513,0.7002785801887512,0.9379885196685791,0
0.09807022660970688,0.1368034929037094,0.8175216913223267,4
0.06300711631774902,0.9140697717666626,0.8610913157463074,9
0.09969134628772736,0.6476911902427673,0.4249747097492218,0
0.06154654920101166,0.6022486090660095,0.15662729740142822,0
0.08407332003116608,0.35164690017700195,0.3161318004131317,0
0.06024855002760887,0.10950320214033127,0.8849815726280212,6
0.011957880109548569,0.7207220196723938,0.28038251399993896,11
0.040976960211992264,0.04103986173868179,0.10093539953231812,0
