x,y,y_true,y_conformal
6.612275988350923,7.547639130570076,-1.0,-1.0
5.398311405072987,5.185616265908944,1.0,-1.0
9.136736690812889,8.288655531658573,1.0,1.0
9.698310653139794,9.05661817588494,1.0,1.0
3.0106371669331256,-1.255817220433269,1.0,1.0
8.617144350808378,4.316576228060927,1.0,1.0
8.519552918476133,5.313168354447683,1.0,1.0
1.763117848026231,5.47836467013745,-1.0,-1.0
5.740248806698429,9.623223735827464,-1.0,-1.0
8.221308843787018,6.235001808953598,1.0,1.0
2.7105227957630893,1.0314063319310416,1.0,1.0
5.408356259603427,2.177934797842923,1.0,1.0
8.460995522556926,3.7551456502815466,1.0,1.0
6.208120606335035,8.989092911841066,-1.0,-1.0
9.987661425235157,9.218120088236262,1.0,-1.0
0.7600750942203927,-1.910207935759409,1.0,1.0
5.502465853581531,9.40723680101194,-1.0,-1.0
7.152170575842734,4.992111781936208,1.0,1.0
9.76112021164513,4.850439894682336,1.0,-1.0
2.975774017634507,5.704003457462553,-1.0,-1.0
0.8811457681169721,1.9338213030880296,-1.0,-1.0
5.176980511425508,6.84260089006836,-1.0,-1.0
4.761359041356805,3.3988068305434025,1.0,1.0
5.50839374604374,6.077940119608156,-1.0,-1.0
4.852975212148557,7.461208802890095,-1.0,-1.0
5.943053657441359,1.0943637529925452,1.0,1.0
0.4318895971700764,-3.280502023601498,1.0,1.0
2.389948185804618,-2.551901488014177,1.0,1.0
8.133266925950938,8.812307242829789,-1.0,-1.0
9.09765274654812,6.687946807544013,1.0,1.0
7.847605916147058,11.444099326840902,-1.0,-1.0
2.024560530449957,2.652182231294644,-1.0,-1.0
6.232048359905878,6.572006934148911,-1.0,-1.0
6.35637319096319,6.146753652164019,1.0,-1.0
6.915427617042291,11.848855571906393,-1.0,-1.0
6.293378245548129,5.28369145909835,1.0,1.0
8.02640760216123,7.829766931754181,1.0,-1.0
5.439892573008288,7.985174286626501,-1.0,-1.0
5.170157904960555,8.366564384706201,-1.0,-1.0
1.6931183941747774,0.9698882684297307,1.0,1.0
7.509587954107916,11.685158880520625,-1.0,-1.0
3.5092976408520107,-1.1715641078258905,1.0,1.0
2.346093876490359,-0.3476877752063827,1.0,1.0
1.2138588084479929,5.631876087209935,-1.0,-1.0
7.68824767239056,8.27929598751557,-1.0,-1.0
0.9392109705787676,0.7037893432627493,1.0,-1.0
6.74715088521933,3.70699460829238,1.0,1.0
3.557816680319367,6.6027754375692,-1.0,-1.0
2.817059803968729,6.835753167324603,-1.0,-1.0
2.818143873245514,0.9429256471414736,1.0,1.0
0.0140983925839421,0.2447550689063715,-1.0,-1.0
1.995786047309549,3.100364821783426,-1.0,-1.0
4.535704047282511,6.151763680597336,-1.0,-1.0
4.640565957800394,7.705086311821071,-1.0,-1.0
3.756313425834831,2.613135728171091,1.0,1.0
3.863805022345242,4.66975998987669,-1.0,-1.0
8.165457179521553,5.261575552175524,1.0,1.0
2.345038701450318,7.025094467363917,-1.0,-1.0
6.177858294644026,2.6232578066276795,1.0,1.0
6.571063443832822,3.362102534268785,1.0,1.0
3.251285638580633,1.0885396632953213,1.0,1.0
1.7704084725475733,-1.9216255483493008,1.0,1.0
3.932520784292112,6.717126539416176,-1.0,-1.0
6.944822617948342,5.926798475049369,1.0,1.0
9.17999356598049,5.910388618761264,1.0,1.0
2.2959033290898145,5.827246529391395,-1.0,-1.0
4.945319344043916,9.644214234443,-1.0,-1.0
8.461490139009843,9.63024273759212,-1.0,-1.0
0.8744400855180645,-0.0220562880489767,1.0,1.0
0.0739423927954974,-4.719669270089463,1.0,-1.0
6.48188228152991,5.679366055223875,1.0,1.0
3.743177837978928,5.412968041645293,-1.0,-1.0
8.077862080409625,5.874632268586964,1.0,1.0
3.929503912156716,7.281471718063899,-1.0,-1.0
8.769960831520903,11.98558048303197,-1.0,-1.0
4.799316354384033,2.088633266495774,1.0,1.0
5.38138010336032,2.3071244698759528,1.0,1.0
7.955835432212485,10.433523878625216,-1.0,-1.0
